1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,7
9,8
10,9
11,2
12,10
13,11
14,7
15,12
16,13
17,14
18,15
19,9
20,2
21,16
22,4
23,15
24,7
25,2
26,14
27,7
28,17
29,18
30,2
31,4
32,18
33,7
34,2
35,7
36,1
37,7
38,19
39,9
40,20
41,1
42,14
43,8
44,2
45,2
46,21
47,22
48,7
49,11
50,5
51,23
52,8
53,6
54,24
55,5
56,7
57,5
58,2
59,16
60,4
61,25
62,14
63,2
64,18
65,26
66,2
67,27
68,27
69,8
70,14
71,7
72,28
73,17
74,25
75,8
76,11
77,4
78,29
79,9
80,14
81,8
82,8
83,7
84,22
85,5
86,13
87,30
88,18
89,4
90,8
91,31
92,20
93,18
94,28
95,32
96,33
97,2
98,2
99,28
100,8
101,30
102,22
103,31
104,1
105,34
106,13
107,2
108,26
109,7
110,35
111,34
112,7
113,18
114,36
115,24
116,14
117,4
118,26
119,22
120,13
121,26
122,9
123,1
124,5
125,27
126,16
127,6
128,34
129,7
130,7
131,25
132,19
133,6
134,7
135,18
136,8
137,17
138,29
139,16
140,26
141,18
142,14
143,29
144,28
145,26
146,32
147,31
148,1
149,7
150,22
151,23
152,3
153,25
154,25
155,29
156,19
157,5
158,37
159,18
160,38
161,2
162,7
163,2
164,2
165,29
166,26
167,5
168,4
169,31
170,20
171,7
172,2
173,7
174,29
175,4
176,10
177,4
178,4
179,17
180,19
181,1
182,8
183,30
184,8
185,17
186,28
187,38
188,1
189,30
190,16
191,39
192,40
193,5
194,4
195,2
196,9
197,13
198,7
199,34
200,22
201,19
202,17
203,33
204,32
205,18
206,7
207,31
208,34
209,2
210,24
211,18
212,16
213,26
214,4
215,2
216,23
217,2
218,26
219,6
220,24
221,7
222,7
223,7
224,13
225,1
226,12
227,17
228,18
229,40
230,18
231,7
232,8
233,29
234,24
235,9
236,13
237,11
238,7
239,27
240,2
241,26
242,7
243,22
244,29
245,7
246,17
247,9
248,24
249,13
250,26
251,2
252,9
253,34
254,7
255,18
256,14
257,5
258,19
259,19
260,12
261,7
262,19
263,41
264,18
265,18
266,7
267,8
268,28
269,28
270,2
271,2
272,11
273,7
274,2
275,5
276,7
277,7
278,7
279,2
280,7
281,8
282,19
283,16
284,20
285,34
286,7
287,7
288,7
289,8
290,29
291,26
292,2
293,15
294,18
295,32
296,32
297,37
298,6
299,41
300,13
301,42
302,4
303,41
304,37
305,35
306,7
307,5
308,5
309,7
310,2
311,1
312,31
313,18
314,43
315,14
316,17
317,34
318,5
319,30
320,43
321,2
322,29
323,29
324,17
325,5
326,7
327,4
328,12
329,18
330,7
331,5
332,6
333,24
334,37
335,13
336,4
337,29
338,8
339,40
340,36
341,2
342,11
343,14
344,8
345,9
346,7
347,34
348,24
349,3
350,29
351,31
352,4
353,8
354,2
355,23
356,24
357,2
358,2
359,5
360,7
361,2
362,8
363,11
364,29
365,30
366,29
367,2
368,36
369,14
370,38
371,17
372,5
373,36
374,15
375,30
376,29
377,18
378,16
379,26
380,17
381,12
382,2
383,36
384,5
385,1
386,43
387,5
388,7
389,29
390,27
391,7
392,31
393,7
394,16
395,28
396,2
397,16
398,1
399,7
400,24
401,1
402,41
403,8
404,2
405,42
406,18
407,14
408,26
409,32
410,24
411,17
412,9
413,9
414,18
415,29
416,17
417,4
418,18
419,8
420,5
421,9
422,9
423,23
424,16
425,7
426,26
427,11
428,1
429,8
430,7
431,40
432,2
433,16
434,34
435,7
436,8
437,27
438,2
439,18
440,7
441,2
442,18
443,34
444,8
445,14
446,27
447,25
448,34
449,15
450,2
451,8
452,29
453,21
454,41
455,12
456,6
457,34
458,14
459,43
460,24
461,24
462,8
463,18
464,4
465,19
466,7
467,2
468,2
469,32
470,2
471,37
472,39
473,7
474,26
475,4
476,2
477,32
478,22
479,39
480,29
481,2
482,4
483,15
484,12
485,18
486,12
487,11
488,17
489,22
490,4
491,24
492,18
493,8
494,7
495,25
496,34
497,18
498,34
499,7
500,29
501,11
502,2
503,16
504,22
505,38
506,18
507,31
508,17
509,7
510,7
511,1
512,40
513,14
514,11
515,1
516,32
517,1
518,18
519,9
520,29
521,39
522,18
523,26
524,28
525,19
526,44
527,11
528,43
529,1
530,2
531,12
532,9
533,10
534,7
535,28
536,1
537,11
538,36
539,2
540,25
541,29
542,25
543,2
544,18
545,19
546,30
547,7
548,18
549,15
550,12
551,8
552,11
553,18
554,19
555,5
556,21
557,26
558,8
559,8
560,4
561,26
562,2
563,30
564,18
565,7
566,22
