delivery_person_id,user_id,pincode
1,2001,504273
2,2002,504293
3,2003,504307
4,2004,504001
5,2005,504001
6,2006,504251
7,2007,504273
8,2008,504251
9,2009,504309
10,2010,504201
11,2011,504110
12,2012,504202
13,2013,504296
14,2014,504231
15,2015,504109
16,2016,504201
17,2017,504299
18,2018,504002
19,2019,504201
20,2020,504204
21,2021,504312
22,2022,504313
23,2023,504101
24,2024,504293
25,2025,504201
26,2026,504204
27,2027,504293
28,2028,504299
29,2029,504205
30,2030,504203
31,2031,504295
32,2032,504106
33,2033,504306
34,2034,504299
35,2035,504296
36,2036,504101
37,2037,504304
38,2038,504203
39,2039,504299
40,2040,504309
41,2041,504202
42,2042,504251
43,2043,504251
44,2044,504103
45,2045,504001
46,2046,504103
47,2047,504308
48,2048,504204
49,2049,504311
50,2050,504002
51,2051,504273
52,2052,504103
53,2053,504103
54,2054,504001
55,2055,504304
56,2056,504273
57,2057,504101
58,2058,504311
59,2059,504306
60,2060,504304
61,2061,504273
62,2062,504101
63,2063,504307
64,2064,504110
65,2065,504272
66,2066,504101
67,2067,504251
68,2068,504251
69,2069,504323
70,2070,504293
71,2071,504272
72,2072,504002
73,2073,504215
74,2074,504311
75,2075,504309
76,2076,504103
77,2077,504296
78,2078,504346
79,2079,504103
80,2080,504110
81,2081,504002
82,2082,504201
83,2083,504296
84,2084,504205
85,2085,504299
86,2086,504299
87,2087,504304
88,2088,504310
89,2089,504294
90,2090,504306
91,2091,504202
92,2092,504103
93,2093,504313
94,2094,504302
95,2095,504002
96,2096,504299
97,2097,504206
98,2098,504311
99,2099,504346
100,2100,504002
101,2101,504001
102,2102,504202
103,2103,504309
104,2104,504304
105,2105,504273
106,2106,504102
107,2107,504294
108,2108,504293
109,2109,504308
110,2110,504218
111,2111,504201
112,2112,504311
113,2113,504313
114,2114,504110
115,2115,504304
116,2116,504346
117,2117,504205
118,2118,504231
119,2119,504299
120,2120,504203
121,2121,504306
122,2122,504299
123,2123,504310
124,2124,504103
125,2125,504207
126,2126,504215
127,2127,504201
128,2128,504206
129,2129,504272
130,2130,504296
131,2131,504296
132,2132,504307
133,2133,504102
134,2134,504102
135,2135,504209
136,2136,504104
137,2137,504311
138,2138,504001
139,2139,504292
140,2140,504304
141,2141,504311
142,2142,504309
143,2143,504297
144,2144,504346
145,2145,504307
146,2146,504307
147,2147,504219
148,2148,504304
149,2149,504207
150,2150,504292
151,2151,504312
152,2152,504110
153,2153,504346
154,2154,504323
155,2155,504293
156,2156,504208
157,2157,504309
158,2158,504311
159,2159,504215
160,2160,504299
161,2161,504308
162,2162,504273
163,2163,504299
164,2164,504109
165,2165,504309
166,2166,504299
167,2167,504306
168,2168,504293
169,2169,504311
170,2170,504251
171,2171,504308
172,2172,504299
173,2173,504346
174,2174,504296
175,2175,504311
176,2176,504273
177,2177,504207
178,2178,504299
179,2179,504205
180,2180,504216
181,2181,504346
182,2182,504295
183,2183,504106
184,2184,504296
185,2185,504215
186,2186,504273
187,2187,504309
188,2188,504313
189,2189,504216
190,2190,504251
191,2191,504110
192,2192,504313
193,2193,504251
194,2194,504207
195,2195,504214
196,2196,504205
197,2197,504304
198,2198,504102
199,2199,504312
200,2200,504219
201,2201,504105
202,2202,504205
203,2203,504109
204,2204,504306
205,2205,504273
206,2206,504231
207,2207,504310
208,2208,504102
209,2209,504002
210,2210,504313
211,2211,504219
212,2212,504101
213,2213,504297
214,2214,504219
215,2215,504293
216,2216,504312
217,2217,504312
218,2218,504304
219,2219,504299
