wallet_id,user_id,balance
1,1,256.42
2,2,312.06
3,3,259.92
4,4,605.26
5,5,811.27
6,6,403.54
7,7,474.37
8,8,637.94
9,9,495.96
10,10,90.21
11,11,182.76
12,12,882.79
13,13,10.0
14,14,95.66
15,15,506.59
16,16,88.79
17,17,637.28
18,18,749.75
19,19,474.41
20,20,546.93
21,21,309.63
22,22,956.35
23,23,665.84
24,24,930.19
25,25,120.15
26,26,704.87
27,27,188.89
28,28,771.79
29,29,215.07
30,30,279.88
31,31,268.23
32,32,749.34
33,33,10.93
34,34,193.4
35,35,714.69
36,36,731.6
37,37,242.29
38,38,161.39
39,39,350.0
40,40,735.67
41,41,948.77
42,42,349.17
43,43,344.64
44,44,533.31
45,45,157.64
46,46,129.62
47,47,721.94
48,48,888.14
49,49,772.84
50,50,521.75
51,51,287.49
52,52,936.28
53,53,369.44
54,54,447.94
55,55,305.3
56,56,485.74
57,57,222.56
58,58,805.87
59,59,116.23
60,60,165.15
61,61,420.52
62,62,938.28
63,63,11.17
64,64,892.39
65,65,725.53
66,66,979.55
67,67,660.05
68,68,208.71
69,69,989.92
70,70,72.42
71,71,203.34
72,72,466.76
73,73,646.17
74,74,195.79
75,75,925.88
76,76,700.59
77,77,597.84
78,78,523.07
79,79,612.08
80,80,16.73
81,81,413.78
82,82,275.72
83,83,969.94
84,84,113.84
85,85,752.56
86,86,275.41
87,87,723.82
88,88,372.96
89,89,737.54
90,90,973.97
91,91,572.94
92,92,969.4
93,93,516.19
94,94,986.27
95,95,930.24
96,96,790.04
97,97,354.11
98,98,97.71
99,99,592.16
100,100,497.2
101,101,29.73
102,102,438.69
103,103,133.72
104,104,923.96
105,105,968.67
106,106,684.34
107,107,482.59
108,108,541.04
109,109,90.6
110,110,388.86
111,111,219.53
112,112,490.95
113,113,200.61
114,114,61.56
115,115,526.25
116,116,82.3
117,117,472.98
118,118,314.03
119,119,545.04
120,120,710.13
121,121,555.19
122,122,953.85
123,123,486.08
124,124,578.79
125,125,760.57
126,126,187.59
127,127,285.68
128,128,416.19
129,129,296.21
130,130,607.98
131,131,410.45
132,132,765.06
133,133,852.03
134,134,396.59
135,135,200.37
136,136,648.27
137,137,228.13
138,138,620.97
139,139,594.05
140,140,142.35
141,141,35.77
142,142,327.98
143,143,873.0
144,144,935.5
145,145,484.73
146,146,562.56
147,147,576.65
148,148,338.67
149,149,811.64
150,150,630.05
151,151,528.24
152,152,967.19
153,153,988.99
154,154,809.01
155,155,109.29
156,156,337.13
157,157,731.77
158,158,336.36
159,159,934.13
160,160,925.81
161,161,726.88
162,162,544.57
163,163,729.74
164,164,857.95
165,165,822.26
166,166,124.6
167,167,405.59
168,168,254.73
169,169,334.49
170,170,49.48
171,171,733.0
172,172,776.57
173,173,184.94
174,174,268.79
175,175,35.86
176,176,533.73
177,177,441.17
178,178,986.28
179,179,530.41
180,180,525.85
181,181,894.64
182,182,120.9
183,183,324.29
184,184,74.74
185,185,28.89
186,186,209.72
187,187,988.83
188,188,489.24
189,189,982.04
190,190,334.31
191,191,734.38
192,192,332.86
193,193,196.11
194,194,884.55
195,195,7.6
196,196,766.99
197,197,631.27
198,198,350.88
199,199,625.46
200,200,407.85
201,201,8.47
202,202,555.19
203,203,447.81
204,204,961.88
205,205,967.2
206,206,553.63
207,207,818.47
208,208,975.0
209,209,145.17
210,210,263.51
211,211,924.87
212,212,160.42
213,213,845.61
214,214,775.12
215,215,861.47
216,216,122.14
217,217,864.31
218,218,494.08
219,219,344.26
220,220,310.04
221,221,277.05
222,222,388.46
223,223,759.23
224,224,402.78
225,225,904.8
226,226,441.76
227,227,799.45
228,228,818.74
229,229,669.05
230,230,922.91
231,231,157.83
232,232,852.99
233,233,587.73
234,234,284.27
235,235,928.72
236,236,677.38
237,237,701.04
238,238,457.94
239,239,835.26
240,240,482.37
241,241,41.4
242,242,835.03
243,243,343.54
244,244,346.12
245,245,716.03
246,246,317.88
247,247,598.27
248,248,768.29
249,249,158.4
250,250,172.68
251,251,29.47
252,252,413.12
253,253,751.97
254,254,646.09
255,255,491.49
256,256,226.26
257,257,734.23
258,258,961.54
259,259,711.89
260,260,182.12
261,261,768.77
262,262,286.87
263,263,732.67
264,264,264.83
265,265,218.17
266,266,996.63
267,267,860.67
268,268,871.52
269,269,783.67
270,270,929.84
271,271,607.89
272,272,933.83
273,273,918.26
274,274,306.98
275,275,74.46
276,276,936.25
277,277,724.35
278,278,781.89
279,279,0.41
280,280,686.7
281,281,606.66
282,282,928.55
283,283,156.16
284,284,370.5
285,285,792.83
286,286,757.88
287,287,947.24
288,288,209.54
289,289,868.06
290,290,91.04
291,291,144.77
292,292,628.31
293,293,774.22
294,294,95.01
295,295,263.99
296,296,666.88
297,297,792.58
298,298,682.12
299,299,873.66
300,300,483.07
301,301,204.77
302,302,146.42
303,303,480.41
304,304,593.94
305,305,562.61
306,306,132.68
307,307,1.91
308,308,803.27
309,309,513.1
310,310,838.48
311,311,914.8
312,312,561.11
313,313,480.65
314,314,547.39
315,315,648.06
316,316,170.24
317,317,882.29
318,318,27.45
319,319,635.61
320,320,734.17
321,321,722.27
322,322,543.21
323,323,783.98
324,324,853.41
325,325,18.68
326,326,464.97
327,327,873.92
328,328,497.47
329,329,354.68
330,330,593.01
331,331,387.44
332,332,306.15
333,333,683.24
334,334,545.5
335,335,524.01
336,336,794.45
337,337,519.43
338,338,85.2
339,339,569.63
340,340,693.99
341,341,728.91
342,342,251.01
343,343,534.49
344,344,136.49
345,345,596.46
346,346,144.39
347,347,178.09
348,348,12.1
349,349,96.41
350,350,894.73
351,351,396.2
352,352,888.01
353,353,288.69
354,354,857.78
355,355,45.5
356,356,262.3
357,357,663.55
358,358,347.83
359,359,678.95
360,360,197.43
361,361,199.91
362,362,624.21
363,363,103.21
364,364,837.49
365,365,170.52
366,366,58.95
367,367,448.33
368,368,45.15
369,369,655.24
370,370,890.26
371,371,109.4
372,372,941.34
373,373,665.77
374,374,49.94
375,375,332.4
376,376,48.44
377,377,3.18
378,378,139.23
379,379,78.14
380,380,928.04
381,381,777.66
382,382,79.81
383,383,50.04
384,384,438.17
385,385,686.74
386,386,396.8
387,387,684.85
388,388,826.0
389,389,654.01
390,390,505.75
391,391,625.51
392,392,717.15
393,393,236.2
394,394,864.81
395,395,589.78
396,396,635.26
397,397,70.33
398,398,575.93
399,399,454.82
400,400,413.49
401,401,485.28
402,402,343.91
403,403,101.85
404,404,509.3
405,405,723.99
406,406,854.58
407,407,643.82
408,408,328.62
409,409,926.16
410,410,6.56
411,411,614.35
412,412,222.81
413,413,145.39
414,414,975.3
415,415,178.52
416,416,384.4
417,417,400.22
418,418,405.37
419,419,470.74
420,420,640.89
421,421,480.14
422,422,584.59
423,423,787.65
424,424,437.33
425,425,945.08
426,426,269.18
427,427,619.56
428,428,927.92
429,429,419.13
430,430,505.01
431,431,674.11
432,432,276.72
433,433,169.66
434,434,583.6
435,435,839.54
436,436,840.7
437,437,960.32
438,438,914.67
439,439,192.75
440,440,785.92
441,441,438.76
442,442,989.19
443,443,35.78
444,444,272.72
445,445,481.71
446,446,375.17
447,447,10.09
448,448,460.94
449,449,76.42
450,450,497.88
451,451,782.55
452,452,545.84
453,453,445.97
454,454,600.2
455,455,392.63
456,456,401.32
457,457,955.75
458,458,426.97
459,459,520.47
460,460,422.58
461,461,127.39
462,462,561.32
463,463,13.69
464,464,568.82
465,465,8.68
466,466,55.51
467,467,470.97
468,468,65.87
469,469,655.3
470,470,908.72
471,471,758.87
472,472,372.5
473,473,522.93
474,474,949.77
475,475,960.47
476,476,203.32
477,477,257.41
478,478,482.13
479,479,649.68
480,480,55.46
481,481,784.35
482,482,549.91
483,483,1.45
484,484,443.45
485,485,814.74
486,486,724.94
487,487,47.49
488,488,36.67
489,489,487.5
490,490,36.44
491,491,885.37
492,492,449.01
493,493,417.01
494,494,854.08
495,495,27.83
496,496,149.42
497,497,608.74
498,498,504.07
499,499,607.58
500,500,840.09
501,501,638.97
502,502,829.22
503,503,835.1
504,504,126.33
505,505,585.31
506,506,121.84
507,507,300.05
508,508,325.28
509,509,522.37
510,510,325.43
511,511,295.98
512,512,811.79
513,513,484.19
514,514,895.56
515,515,555.78
516,516,644.23
517,517,524.1
518,518,213.88
519,519,734.88
520,520,144.14
521,521,430.08
522,522,402.95
523,523,374.45
524,524,950.47
525,525,595.41
526,526,676.44
527,527,91.13
528,528,891.33
529,529,820.86
530,530,544.83
531,531,60.07
532,532,892.73
533,533,634.15
534,534,261.8
535,535,558.01
536,536,175.96
537,537,154.03
538,538,606.84
539,539,110.08
540,540,614.98
541,541,374.08
542,542,565.3
543,543,205.82
544,544,688.34
545,545,886.72
546,546,692.25
547,547,313.32
548,548,767.07
549,549,945.36
550,550,769.99
551,551,376.15
552,552,356.27
553,553,349.98
554,554,723.31
555,555,959.7
556,556,828.7
557,557,540.34
558,558,472.26
559,559,657.8
560,560,478.57
561,561,673.19
562,562,923.27
563,563,283.96
564,564,590.17
565,565,439.67
566,566,718.44
567,567,580.31
568,568,999.92
569,569,292.25
570,570,663.67
571,571,914.54
572,572,530.16
573,573,848.2
574,574,19.04
575,575,573.34
576,576,653.15
577,577,486.21
578,578,489.88
579,579,789.16
580,580,692.7
581,581,347.74
582,582,753.58
583,583,350.68
584,584,918.87
585,585,810.37
586,586,788.95
587,587,922.53
588,588,661.97
589,589,418.64
590,590,954.55
591,591,984.5
592,592,815.79
593,593,940.33
594,594,568.63
595,595,39.82
596,596,661.49
597,597,868.85
598,598,432.24
599,599,602.95
600,600,841.98
601,601,855.2
602,602,819.69
603,603,115.11
604,604,339.67
605,605,383.83
606,606,674.43
607,607,461.63
608,608,895.23
609,609,183.6
610,610,200.65
611,611,628.62
612,612,516.6
613,613,344.11
614,614,275.63
615,615,602.07
616,616,157.36
617,617,495.52
618,618,523.49
619,619,602.89
620,620,407.18
621,621,998.85
622,622,772.19
623,623,165.84
624,624,82.78
625,625,139.33
626,626,582.98
627,627,452.07
628,628,523.46
629,629,85.79
630,630,455.37
631,631,845.17
632,632,880.52
633,633,708.41
634,634,942.72
635,635,132.99
636,636,315.49
637,637,652.62
638,638,206.56
639,639,842.29
640,640,317.79
641,641,652.73
642,642,748.69
643,643,716.15
644,644,247.12
645,645,772.96
646,646,57.04
647,647,30.78
648,648,17.57
649,649,990.35
650,650,732.23
651,651,537.16
652,652,296.0
653,653,260.6
654,654,784.23
655,655,167.49
656,656,990.21
657,657,772.23
658,658,805.78
659,659,217.9
660,660,831.92
661,661,667.83
662,662,933.38
663,663,260.61
664,664,859.13
665,665,117.12
666,666,255.46
667,667,185.39
668,668,709.77
669,669,18.64
670,670,6.58
671,671,936.95
672,672,472.71
673,673,888.84
674,674,820.96
675,675,275.75
676,676,648.15
677,677,849.05
678,678,176.29
679,679,616.5
680,680,200.75
681,681,991.14
682,682,348.96
683,683,736.26
684,684,945.22
685,685,851.81
686,686,723.46
687,687,42.18
688,688,387.31
689,689,322.05
690,690,84.6
691,691,265.53
692,692,95.86
693,693,102.13
694,694,847.85
695,695,128.72
696,696,22.05
697,697,345.14
698,698,726.37
699,699,663.05
700,700,545.05
701,701,900.21
702,702,104.05
703,703,571.76
704,704,782.79
705,705,892.52
706,706,603.94
707,707,133.5
708,708,306.44
709,709,594.95
710,710,356.82
711,711,114.61
712,712,341.3
713,713,952.63
714,714,108.85
715,715,577.06
716,716,939.26
717,717,48.98
718,718,369.22
719,719,387.05
720,720,795.12
721,721,738.7
722,722,937.6
723,723,982.93
724,724,913.65
725,725,182.22
726,726,426.21
727,727,238.53
728,728,2.75
729,729,569.2
730,730,477.62
731,731,485.53
732,732,140.76
733,733,556.84
734,734,718.05
735,735,325.45
736,736,565.45
737,737,513.26
738,738,316.72
