wishlist_id,customer_id,product_id
1,1,2
2,1,3
3,1,26
4,1,2
5,2,1
6,2,12
7,2,4
8,2,9
9,3,17
10,3,7
11,3,22
12,3,18
13,3,16
14,4,3
15,4,8
16,5,22
17,5,14
18,5,14
19,5,9
20,6,14
21,6,15
22,7,21
23,7,24
24,7,23
25,8,12
26,8,25
27,8,6
28,9,1
29,9,17
30,9,6
31,9,3
32,9,2
33,10,5
34,10,28
35,10,14
36,11,26
37,11,20
38,11,24
39,12,6
40,13,16
41,13,7
42,13,8
43,16,27
44,16,7
45,16,2
46,16,14
47,16,19
48,17,24
49,17,1
50,17,7
51,17,19
52,18,1
53,18,22
54,18,20
55,18,3
56,18,21
57,19,23
58,19,3
59,19,28
60,20,14
61,20,8
62,20,25
63,20,8
64,21,5
65,21,23
66,22,2
67,23,16
68,23,17
69,24,14
70,25,11
71,25,23
72,25,15
73,25,16
74,25,8
75,27,27
76,27,19
77,27,20
78,28,1
79,28,9
80,28,7
81,28,20
82,28,14
83,29,19
84,29,22
85,29,8
86,29,11
87,29,1
88,30,21
89,30,28
90,31,14
91,31,27
92,32,21
93,32,17
94,32,21
95,35,12
96,36,15
97,36,20
98,36,22
99,36,1
100,36,10
101,37,4
102,37,4
103,37,28
104,37,1
105,38,14
106,38,16
107,38,23
108,38,5
109,38,10
110,39,18
111,39,5
112,39,14
113,39,20
114,39,16
115,40,11
116,40,27
117,40,16
118,41,27
119,41,5
120,41,25
121,41,7
122,41,10
123,42,2
124,43,25
125,43,10
126,43,10
127,43,23
128,43,4
129,44,18
130,44,5
131,44,15
132,44,24
133,45,15
134,45,1
135,45,10
136,45,27
137,45,23
138,46,5
139,46,6
140,46,15
141,46,6
142,46,27
143,48,5
144,48,28
145,48,3
146,49,21
147,49,20
148,50,6
149,50,8
150,50,23
151,50,20
152,50,26
153,51,1
154,51,22
155,51,7
156,52,21
157,52,2
158,52,23
159,53,12
160,53,24
161,54,2
162,56,27
163,56,23
164,56,6
165,56,1
166,57,18
167,57,17
168,57,15
169,58,19
170,58,21
171,58,15
172,59,2
173,59,26
174,59,22
175,59,21
176,60,1
177,60,14
178,60,18
179,60,7
180,61,12
181,61,7
182,63,10
183,63,19
184,63,3
185,64,20
186,64,10
187,64,11
188,65,28
189,65,23
190,65,9
191,66,20
192,66,4
193,66,25
194,67,10
195,67,28
196,67,1
197,67,7
198,68,17
199,68,4
200,68,3
201,68,1
202,69,1
203,69,3
204,69,11
205,69,2
206,70,20
207,72,21
208,72,25
209,72,3
210,72,1
211,73,1
212,73,7
213,73,23
214,73,15
215,73,5
216,74,2
217,74,1
218,74,3
219,74,17
220,74,1
221,75,16
222,75,27
223,75,23
224,75,25
225,76,12
226,76,13
227,76,1
228,76,21
229,76,6
230,77,23
231,77,4
232,77,25
233,77,25
234,79,7
235,79,26
236,79,1
237,79,28
238,79,28
239,80,10
240,80,28
241,81,27
242,81,24
243,82,12
244,82,10
245,83,12
246,83,12
247,83,1
248,83,23
249,83,15
250,84,27
251,84,2
252,86,10
253,86,22
254,86,23
255,86,5
256,86,21
257,87,16
258,88,14
259,88,13
260,88,1
261,88,10
262,88,6
263,89,24
264,89,8
265,89,16
266,91,2
267,91,1
268,91,5
269,91,3
270,91,24
271,92,14
272,93,7
273,93,10
274,94,16
275,94,1
276,94,13
277,94,16
278,95,14
279,95,4
280,95,7
281,95,3
282,96,17
283,96,18
284,96,25
285,96,20
286,96,21
287,97,10
288,97,12
289,98,4
290,98,20
291,98,2
292,98,14
293,99,12
294,99,7
295,99,5
296,99,24
297,99,1
298,100,4
299,100,19
300,100,23
301,100,18
302,100,16
303,101,9
304,101,23
305,101,22
306,102,6
307,103,24
308,103,8
309,103,7
310,105,5
311,105,12
312,106,25
313,106,5
314,106,11
315,107,19
316,107,20
317,108,7
318,108,5
319,108,27
320,109,24
321,109,18
322,109,5
323,109,26
324,110,10
325,111,12
326,112,12
327,112,28
328,112,19
329,112,24
330,112,15
331,113,15
332,113,24
333,114,1
334,114,10
335,114,24
336,115,8
337,115,24
338,115,19
339,115,13
340,115,10
341,117,5
342,117,15
343,117,26
344,117,13
345,117,10
346,118,7
347,118,6
348,118,15
349,118,15
350,118,16
351,119,3
352,119,26
353,119,5
354,119,27
355,123,16
356,124,28
357,124,3
358,124,16
359,125,28
360,126,13
361,126,27
362,127,24
363,127,16
